key	value
work_work-order_data_dictionary_acquisition_switch	数据字典获取切换类型
work_work-order_obtain_the_corresponding_total_num	获取每个工单相应总数
order_rental_order_list	租赁订单列表
order_filter	筛选
order_table	表格
order_delivery_status	交付状态
order_account_type	账户类型
order_account_attributes	账户属性
order_time_zone	时区
order_business_number	商业号
order_operate	操作
order_view_details	查看详情
order_deliver	交付
order_table_data	表格数据
order_header_data	表头数据
order_order_no	订单号
order_order_amount	订单金额
order_target_platform	目标平台
order_account_number	账号
order_allocate_time	分配时间
order_delivery_time	交付时间
order_completion_time	完成时间
order_applicable_platform	适用平台
order_area	地区
order_service_provider_delivery_status	服务商交付状态
order_to_be_delivered	待交付
order_to_be_confirmed	待确认
order_delivery_successful	交付成功
order_delivery_failure	交付失败
order_after_sales_service	售后中
order_number_of_data_entries_on_the_current_page	当前页数据条数
order_current_page_number	当前页码
order_total_number_of_articles	总条数
order_get_a_list_of_rental_orders	获取租赁订单列表
order_monitor_page_number_switching	监听页码切换
order_data_dictionary	数据字典
order_display_delivery_status	回显交付状态
order_delivered_yet_to_be_confirmed	已交付待确认
order_retrieve_status_information_return_default_v	获取状态信息，如果不存在则返回默认值
order_unknown_state	未知状态
order_account_type_display	账户类型回显
order_account_attribute_display	账户属性回显
order_time_zone_display	时区回显
order_recharge_order_management	充值订单管理
order_search_bar	搜索栏
order_please_enter_the_order_number	请输入订单号
order_recharge_account	充值账号
order_please_enter_the_name_of_the_recharge_accoun	请输入充值账号名称
order_all	全部
order_please_select	请选择
order_start_date	开始日期
order_end_date	结束日期
order_query	查询
order_reset	重置
order_customize_header	自定义表头
order_the_order_amount_is_the_sum_of_the_recharge_	订单金额为充值金额与服务费之和
order_recharge_successful	充值成功
order_recharge_failed	充值失败
order_delivered	已交付
order_search_for	搜索
order_recharge_amount	充值金额
order_estimated_service_fee	预估服务费
order_notes	备注
order_retrieve_account_type_from_data_dictionary	数据字典获取账户类型
order_obtain_platform_data	获取平台数据
order_get_list	获取列表
order_monitor_and_search	监听搜索
order_account_type_linkage	账户类型联动
order_after_clearing_the_time_component_the_data_t	时间组件清空后数据类型需要重置为数组
order_listening_table_sorting	监听表格排序
order_switch_between_monitoring_the_number_of_data	监听每页数据条数切换
order_monitor_table_operation	监听表格操作
order_details	详情
order_success	成功
order_fail	失败
order_order_details	订单详情
order_basic_information	基本信息
order_account	账户
order_account_information	账号信息
order_account_name	账号名称
order_platform_to_which_it_belongs	所属平台
order_account_type_1	账号类型
order_region_one	区域一
order_region_2	区域二
order_please_select_the_target_platform_first	请先选择目标平台
order_please_select_the_account_type_first	请先选择账户类型
order_list_of_time_zones	时区列表
order_regions	地区列表
order_monitor_and_switch_time_zones	监听切换时区
order_target_platform_selection	目标平台选择
order_select	选择
order_recharge_information	充值信息
order_recharge_record	充值记录
order_view	查看
order_recharge_account_header_data	充值账号表头数据
order_platform	平台
order_recharge_record_header_data	充值记录表头数据
order_recharge_result	充值结果
order_platform_transaction_serial_number	平台交易流水号
order_voucher	凭证
order_open	打开
order_initialized_data	初始化数据
order_amount_of_money	金额
order_processing_recharge_account_data	处理充值账号数据
order_processing_recharge_record_data	处理充值记录数据
order_close	关闭
order_left_line_of_title	标题左侧线条
order_kind_reminder_please_fill_in_the_platform_tr	温馨提示：请正确填写平台交易流水号，否则将无法成功交付！
order_form	表单
